id,name,height,weight,base_experience,types,abilities,moves
113,chansey,11,346,395,normal,"healer, natural-cure, serene-grace","ally-switch, aromatherapy, attract, baby-doll-eyes, bestow, bide, blizzard, body-slam, brick-break, bubble-beam, bulldoze, calm-mind, captivate, charge-beam, charm, chilling-water, confide, copycat, counter, covet, curse, dazzling-gleam, defense-curl, disarming-voice, double-edge, double-slap, double-team, drain-punch, draining-kiss, dream-eater, dynamic-punch, earthquake, echoed-voice, egg-bomb, electric-terrain, endeavor, endure, facade, fairy-wind, fire-blast, fire-punch, flamethrower, flash, fling, focus-blast, focus-punch, frustration, giga-impact, grass-knot, gravity, growl, hail, headbutt, heal-bell, heal-pulse, healing-wish, helping-hand, hidden-power, hyper-beam, hyper-voice, ice-beam, ice-punch, icy-wind, incinerate, iron-tail, laser-focus, last-resort, life-dew, light-screen, mega-kick, mega-punch, metronome, mimic, minimize, mud-bomb, mud-slap, natural-gift, pound, power-up-punch, present, protect, psych-up, psychic, psywave, rage, rain-dance, recycle, reflect, refresh, rest, retaliate, return, rock-climb, rock-slide, rock-smash, rock-tomb, rollout, round, safeguard, sandstorm, secret-power, seismic-toss, shadow-ball, shock-wave, sing, skill-swap, skull-bash, sleep-talk, snatch, snore, snowscape, soft-boiled, solar-beam, stealth-rock, stomping-tantrum, stored-power, strength, submission, substitute, sunny-day, swagger, sweet-kiss, swift, tackle, tail-whip, take-down, telekinesis, teleport, tera-blast, thief, thunder, thunder-punch, thunder-wave, thunderbolt, toxic, trailblaze, tri-attack, uproar, water-gun, water-pulse, wild-charge, work-up, zap-cannon, zen-headbutt"
114,tangela,10,350,87,grass,"chlorophyll, leaf-guard, regenerator","absorb, acid-spray, amnesia, ancient-power, attract, bide, bind, body-slam, bullet-seed, captivate, confide, confusion, constrict, curse, cut, double-edge, double-hit, double-team, endeavor, endure, energy-ball, facade, flail, flash, frustration, giga-drain, giga-impact, grass-knot, grassy-glide, grassy-terrain, growth, headbutt, hidden-power, hyper-beam, infestation, ingrain, knock-off, leaf-storm, leech-seed, mega-drain, mimic, natural-gift, nature-power, pain-split, poison-powder, power-swap, power-whip, protect, psych-up, rage, rage-powder, reflect, rest, return, rock-smash, round, secret-power, seed-bomb, shock-wave, skull-bash, slam, sleep-powder, sleep-talk, sludge-bomb, snore, solar-beam, stun-spore, substitute, sunny-day, swagger, sweet-scent, swords-dance, synthesis, take-down, thief, tickle, toxic, vine-whip, wake-up-slap, worry-seed, wring-out"
115,kangaskhan,22,800,172,normal,"early-bird, inner-focus, scrappy","aerial-ace, aqua-tail, assurance, attract, avalanche, beat-up, bide, bite, blizzard, body-slam, brick-break, bubble-beam, bulldoze, captivate, chip-away, circle-throw, comet-punch, confide, counter, covet, crunch, crush-claw, curse, cut, dig, disable, dizzy-punch, double-edge, double-hit, double-team, drain-punch, dynamic-punch, earthquake, endeavor, endure, facade, fake-out, fire-blast, fire-punch, fissure, flamethrower, fling, focus-blast, focus-energy, focus-punch, foresight, frustration, fury-cutter, giga-impact, growl, hail, hammer-arm, headbutt, helping-hand, hidden-power, hydro-pump, hyper-beam, ice-beam, ice-punch, icy-wind, incinerate, iron-tail, last-resort, leer, low-kick, mega-kick, mega-punch, mimic, mud-slap, natural-gift, outrage, pound, power-up-punch, protect, rage, rain-dance, rest, retaliate, return, reversal, roar, rock-climb, rock-slide, rock-smash, rock-tomb, round, safeguard, sandstorm, secret-power, seismic-toss, shadow-ball, shadow-claw, shock-wave, skull-bash, sleep-talk, snore, solar-beam, spite, stomp, strength, submission, substitute, sucker-punch, sunny-day, surf, swagger, tail-whip, take-down, terrain-pulse, thief, thunder, thunder-punch, thunderbolt, toxic, trump-card, uproar, water-gun, water-pulse, whirlpool, work-up, zap-cannon"
116,horsea,4,80,59,water,"damp, sniper, swift-swim","agility, attract, aurora-beam, bide, blizzard, bounce, brine, bubble, bubble-beam, captivate, chilling-water, clear-smog, confide, curse, disable, dive, double-edge, double-team, dragon-breath, dragon-dance, dragon-pulse, dragon-rage, endure, facade, flail, flash-cannon, flip-turn, focus-energy, frustration, hail, headbutt, hidden-power, hydro-pump, ice-beam, icy-wind, laser-focus, leer, liquidation, mimic, muddy-water, natural-gift, octazooka, outrage, protect, rage, rain-dance, razor-wind, rest, return, round, scald, scale-shot, secret-power, signal-beam, skull-bash, sleep-talk, smokescreen, snore, splash, substitute, surf, swagger, swift, take-down, tera-blast, toxic, twister, water-gun, water-pulse, waterfall, weather-ball, whirlpool"
117,seadra,12,250,154,water,"damp, poison-point, sniper","agility, attract, aurora-beam, bide, blizzard, bounce, brine, bubble, bubble-beam, captivate, chilling-water, clear-smog, confide, curse, disable, dive, double-edge, double-team, dragon-breath, dragon-dance, dragon-pulse, endure, facade, flail, flash-cannon, flip-turn, focus-energy, frustration, giga-impact, hail, headbutt, hidden-power, hydro-pump, hyper-beam, ice-beam, icy-wind, laser-focus, leer, liquidation, mimic, muddy-water, natural-gift, outrage, protect, rage, rain-dance, rest, return, round, scald, scale-shot, scary-face, secret-power, signal-beam, skull-bash, sleep-talk, smokescreen, snore, snowscape, splash, substitute, surf, swagger, swift, take-down, tera-blast, toxic, twister, water-gun, water-pulse, waterfall, weather-ball, whirlpool"
118,goldeen,6,150,64,water,"lightning-rod, swift-swim, water-veil","acupressure, agility, aqua-ring, aqua-tail, attract, bide, blizzard, body-slam, bounce, bubble-beam, captivate, confide, curse, dive, double-edge, double-team, drill-run, endure, facade, flail, flip-turn, frustration, fury-attack, fury-cutter, hail, haze, headbutt, hidden-power, horn-attack, horn-drill, hydro-pump, ice-beam, icy-wind, knock-off, megahorn, mimic, mud-shot, mud-slap, mud-sport, muddy-water, natural-gift, peck, poison-jab, protect, psybeam, quick-attack, rage, rain-dance, rest, return, round, scald, scale-shot, secret-power, signal-beam, skull-bash, sleep-talk, smart-strike, snore, soak, substitute, supersonic, surf, swagger, swift, swords-dance, tail-whip, take-down, throat-chop, toxic, water-gun, water-pulse, water-sport, waterfall, whirlpool"
119,seaking,13,390,158,water,"lightning-rod, swift-swim, water-veil","agility, aqua-ring, aqua-tail, attract, bide, blizzard, body-slam, bounce, bubble-beam, captivate, confide, curse, dive, double-edge, double-team, drill-run, endure, facade, flail, flip-turn, frustration, fury-attack, fury-cutter, giga-impact, hail, headbutt, hidden-power, horn-attack, horn-drill, hydro-pump, hyper-beam, ice-beam, icy-wind, knock-off, megahorn, mimic, mud-shot, mud-slap, muddy-water, natural-gift, peck, poison-jab, protect, psybeam, quick-attack, rage, rain-dance, rest, return, round, scald, scale-shot, secret-power, signal-beam, skull-bash, sleep-talk, smart-strike, snore, soak, substitute, supersonic, surf, swagger, swift, swords-dance, tail-whip, take-down, throat-chop, toxic, water-gun, water-pulse, water-sport, waterfall, whirlpool"
120,staryu,8,345,68,water,"analytic, illuminate, natural-cure","attract, aurora-beam, barrier, bide, blizzard, brine, bubble-beam, camouflage, confide, confuse-ray, cosmic-power, curse, dazzling-gleam, dive, double-edge, double-team, endure, facade, flash, flash-cannon, flip-turn, frustration, gravity, gyro-ball, hail, harden, headbutt, hidden-power, hydro-pump, ice-beam, icy-wind, light-screen, magic-coat, mimic, minimize, natural-gift, pain-split, power-gem, protect, psybeam, psych-up, psychic, psywave, rage, rain-dance, rapid-spin, recover, recycle, reflect, reflect-type, rest, return, rollout, round, scald, secret-power, signal-beam, skull-bash, sleep-talk, snore, substitute, supersonic, surf, swagger, swift, tackle, take-down, teleport, thunder, thunder-wave, thunderbolt, toxic, tri-attack, twister, water-gun, water-pulse, waterfall, whirlpool, zap-cannon"
121,starmie,11,800,182,"psychic, water","analytic, illuminate, natural-cure","agility, ally-switch, attract, avalanche, bide, blizzard, brine, bubble-beam, confide, confuse-ray, cosmic-power, curse, dazzling-gleam, dive, double-edge, double-team, dream-eater, endure, expanding-force, facade, flash, flash-cannon, flip-turn, frustration, giga-impact, grass-knot, gravity, gyro-ball, hail, harden, headbutt, hidden-power, hydro-pump, hyper-beam, ice-beam, icy-wind, light-screen, magic-coat, meteor-beam, mimic, minimize, natural-gift, nightmare, pain-split, power-gem, protect, psybeam, psych-up, psychic, psycho-cut, psyshock, psywave, rage, rain-dance, rapid-spin, recover, recycle, reflect, rest, return, rollout, round, scald, secret-power, signal-beam, skill-swap, skull-bash, sleep-talk, snore, spotlight, substitute, surf, swagger, swift, tackle, take-down, telekinesis, teleport, thunder, thunder-wave, thunderbolt, toxic, tri-attack, trick, trick-room, twister, water-gun, water-pulse, waterfall, whirlpool, wonder-room, zap-cannon"
122,mr-mime,13,545,161,"fairy, psychic","filter, soundproof, technician","aerial-ace, ally-switch, attract, barrier, baton-pass, bide, body-slam, brick-break, calm-mind, captivate, charge-beam, charm, confide, confuse-ray, confusion, copycat, counter, covet, curse, dazzling-gleam, double-edge, double-slap, double-team, drain-punch, dream-eater, dynamic-punch, encore, endure, energy-ball, expanding-force, facade, fake-out, fire-punch, flash, fling, focus-blast, focus-punch, foul-play, frustration, future-sight, giga-impact, grass-knot, guard-swap, headbutt, helping-hand, hidden-power, hyper-beam, hypnosis, ice-punch, icy-wind, infestation, iron-defense, light-screen, magic-coat, magic-room, magical-leaf, meditate, mega-kick, mega-punch, metronome, mimic, misty-terrain, mud-slap, mystical-fire, nasty-plot, natural-gift, nightmare, payback, pound, power-split, power-swap, power-up-punch, protect, psybeam, psych-up, psychic, psychic-terrain, psyshock, psywave, quick-guard, rage, rain-dance, recycle, reflect, rest, return, role-play, round, safeguard, secret-power, seismic-toss, shadow-ball, shock-wave, signal-beam, skill-swap, skull-bash, sleep-talk, snatch, snore, solar-beam, stored-power, submission, substitute, sucker-punch, sunny-day, swagger, take-down, taunt, teeter-dance, telekinesis, teleport, thief, thunder, thunder-punch, thunder-wave, thunderbolt, tickle, torment, toxic, trick, trick-room, uproar, wake-up-slap, wide-guard, wonder-room, zap-cannon, zen-headbutt"
123,scyther,15,560,100,"bug, flying","steadfast, swarm, technician","acrobatics, aerial-ace, agility, air-cutter, air-slash, assurance, attract, baton-pass, bide, brick-break, brutal-swing, bug-bite, bug-buzz, captivate, close-combat, confide, counter, cross-poison, curse, cut, defog, detect, double-edge, double-hit, double-team, dual-wingbeat, endure, facade, false-swipe, feint, focus-energy, frustration, fury-cutter, giga-impact, headbutt, helping-hand, hidden-power, hyper-beam, knock-off, laser-focus, leer, light-screen, lunge, mimic, natural-gift, night-slash, ominous-wind, pounce, protect, psycho-cut, pursuit, quick-attack, quick-guard, rage, rain-dance, razor-wind, rest, return, reversal, rock-smash, roost, round, safeguard, scary-face, secret-power, silver-wind, skitter-smack, skull-bash, slash, sleep-talk, snore, steel-wing, struggle-bug, substitute, sunny-day, swagger, swift, swords-dance, tailwind, take-down, tera-blast, thief, toxic, trailblaze, u-turn, vacuum-wave, wing-attack, x-scissor"
124,jynx,14,406,159,"ice, psychic","dry-skin, forewarn, oblivious","ally-switch, attract, aurora-veil, avalanche, bide, blizzard, body-slam, brick-break, bubble-beam, calm-mind, captivate, charm, confide, confusion, copycat, counter, covet, curse, double-edge, double-slap, double-team, drain-punch, draining-kiss, dream-eater, dynamic-punch, echoed-voice, encore, endure, energy-ball, expanding-force, facade, fake-tears, flash, fling, focus-blast, focus-punch, frost-breath, frustration, future-sight, giga-impact, grass-knot, hail, headbutt, heal-bell, heart-stamp, helping-hand, hidden-power, hyper-beam, hyper-voice, ice-beam, ice-punch, icicle-spear, icy-wind, lick, light-screen, lovely-kiss, magic-coat, magic-room, mean-look, mega-kick, mega-punch, metronome, mimic, mud-slap, nasty-plot, natural-gift, nightmare, payback, perish-song, pound, powder-snow, power-up-punch, protect, psych-up, psychic, psychic-terrain, psycho-cut, psyshock, psywave, rage, rain-dance, recycle, reflect, rest, return, role-play, round, screech, secret-power, seismic-toss, shadow-ball, signal-beam, sing, skill-swap, skull-bash, sleep-talk, snore, stored-power, submission, substitute, swagger, sweet-kiss, sweet-scent, take-down, taunt, telekinesis, teleport, thief, thrash, torment, toxic, trick, trick-room, triple-axel, uproar, wake-up-slap, water-gun, water-pulse, wonder-room, wring-out, zen-headbutt"
125,electabuzz,11,300,172,electric,"static, vital-spirit","attract, bide, body-slam, brick-break, bulk-up, captivate, charge, charge-beam, confide, counter, covet, cross-chop, curse, detect, discharge, double-edge, double-team, dual-chop, dynamic-punch, eerie-impulse, electric-terrain, electro-ball, electroweb, endure, facade, feint, fire-punch, flash, fling, focus-blast, focus-punch, follow-me, frustration, giga-impact, hammer-arm, headbutt, helping-hand, hidden-power, hyper-beam, ice-punch, iron-tail, knock-off, leer, light-screen, low-kick, low-sweep, magnet-rise, mega-kick, mega-punch, metal-sound, metronome, mimic, mud-slap, natural-gift, power-up-punch, protect, psychic, psywave, quick-attack, rage, rain-dance, reflect, rest, return, rising-voltage, rock-climb, rock-smash, round, screech, secret-power, seismic-toss, shock-wave, signal-beam, skull-bash, sleep-talk, snore, spark, strength, submission, substitute, supercell-slam, swagger, swift, take-down, taunt, teleport, tera-blast, thief, thunder, thunder-punch, thunder-shock, thunder-wave, thunderbolt, toxic, trailblaze, uproar, volt-switch, wild-charge, zap-cannon"
126,magmar,13,445,173,fire,"flame-body, vital-spirit","acid-spray, attract, belch, belly-drum, bide, body-slam, brick-break, burning-jealousy, captivate, clear-smog, confide, confuse-ray, counter, covet, cross-chop, curse, detect, double-edge, double-team, dual-chop, dynamic-punch, ember, endure, facade, feint-attack, fire-blast, fire-punch, fire-spin, flame-burst, flame-charge, flame-wheel, flamethrower, flare-blitz, fling, focus-blast, focus-energy, focus-punch, follow-me, frustration, giga-impact, headbutt, heat-crash, heat-wave, helping-hand, hidden-power, hyper-beam, incinerate, iron-tail, knock-off, lava-plume, leer, low-kick, low-sweep, mach-punch, mega-kick, mega-punch, metronome, mimic, mud-slap, natural-gift, overheat, poison-gas, poison-jab, power-swap, power-up-punch, protect, psychic, psywave, rage, rest, return, roar, rock-climb, rock-smash, round, scary-face, scorching-sands, screech, secret-power, seismic-toss, skull-bash, sleep-talk, smog, smokescreen, snore, strength, submission, substitute, sunny-day, swagger, tackle, take-down, taunt, teleport, temper-flare, tera-blast, thief, thunder-punch, toxic, uproar, will-o-wisp"
127,pinsir,15,550,175,bug,"hyper-cutter, mold-breaker, moxie","attract, bide, bind, body-slam, brick-break, brutal-swing, bug-bite, bulk-up, bulldoze, captivate, close-combat, confide, curse, cut, dig, double-edge, double-hit, double-team, earthquake, endure, facade, false-swipe, feint, feint-attack, flail, fling, focus-blast, focus-energy, focus-punch, frustration, fury-attack, fury-cutter, giga-impact, guillotine, harden, headbutt, helping-hand, hidden-power, high-horsepower, hyper-beam, iron-defense, knock-off, me-first, mimic, natural-gift, outrage, protect, quick-attack, rage, rain-dance, rest, return, revenge, reversal, rock-climb, rock-slide, rock-smash, rock-tomb, round, secret-power, seismic-toss, slash, sleep-talk, smack-down, snore, stealth-rock, stone-edge, storm-throw, strength, string-shot, struggle-bug, submission, substitute, sunny-day, superpower, swagger, swords-dance, take-down, thief, thrash, throat-chop, toxic, vice-grip, vital-throw, x-scissor"
128,tauros,14,884,172,normal,"anger-point, intimidate, sheer-force","assurance, attract, bide, blizzard, body-slam, bulldoze, captivate, close-combat, confide, curse, dig, double-edge, double-team, earthquake, endeavor, endure, facade, fire-blast, fissure, flamethrower, focus-energy, frustration, giga-impact, headbutt, helping-hand, hidden-power, high-horsepower, horn-attack, horn-drill, hyper-beam, ice-beam, icy-wind, incinerate, iron-head, iron-tail, lash-out, leer, megahorn, mimic, natural-gift, outrage, payback, protect, pursuit, rage, raging-bull, rain-dance, rest, retaliate, return, revenge, reversal, rock-climb, rock-slide, rock-smash, rock-tomb, role-play, round, sandstorm, scary-face, secret-power, shadow-ball, shock-wave, skull-bash, sleep-talk, smart-strike, snore, solar-beam, spite, stomp, stomping-tantrum, stone-edge, strength, substitute, sunny-day, surf, swagger, tackle, tail-whip, take-down, tera-blast, thief, thrash, throat-chop, thunder, thunderbolt, toxic, trailblaze, uproar, water-pulse, whirlpool, wild-charge, work-up, zap-cannon, zen-headbutt"
129,magikarp,9,100,40,water,"rattled, swift-swim","bounce, flail, hydro-pump, splash, tackle"
130,gyarados,65,2350,189,"flying, water","intimidate, moxie","aqua-tail, attract, avalanche, bide, bind, bite, blizzard, body-slam, bounce, brine, brutal-swing, bubble-beam, bulldoze, captivate, chilling-water, confide, crunch, curse, dark-pulse, dive, double-edge, double-team, dragon-breath, dragon-cheer, dragon-dance, dragon-pulse, dragon-rage, dragon-tail, earthquake, endeavor, endure, facade, fire-blast, flail, flamethrower, focus-energy, frustration, giga-impact, hail, headbutt, helping-hand, hidden-power, hurricane, hydro-pump, hyper-beam, ice-beam, ice-fang, icy-wind, incinerate, iron-head, iron-tail, lash-out, leer, mimic, muddy-water, natural-gift, outrage, payback, power-whip, protect, rage, rain-dance, reflect, rest, return, roar, rock-smash, round, sandstorm, scald, scale-shot, scary-face, secret-power, skull-bash, sleep-talk, snore, spite, splash, stone-edge, strength, substitute, sunny-day, surf, swagger, tackle, take-down, taunt, temper-flare, tera-blast, thrash, thunder, thunder-wave, thunderbolt, torment, toxic, twister, uproar, water-gun, water-pulse, waterfall, whirlpool, zap-cannon"
131,lapras,25,2200,187,"ice, water","hydration, shell-armor, water-absorb","alluring-voice, ancient-power, aqua-tail, attract, aurora-beam, avalanche, bide, blizzard, block, body-press, body-slam, brine, bubble-beam, bulldoze, captivate, charm, chilling-water, confide, confuse-ray, curse, disarming-voice, dive, double-edge, double-team, dragon-breath, dragon-cheer, dragon-dance, dragon-pulse, dragon-rage, dream-eater, drill-run, earthquake, echoed-voice, endure, facade, fissure, foresight, freeze-dry, frost-breath, frustration, future-sight, giga-impact, growl, hail, haze, headbutt, heal-bell, helping-hand, hidden-power, horn-drill, hydro-pump, hyper-beam, hyper-voice, ice-beam, ice-shard, icicle-spear, icy-wind, iron-head, iron-tail, life-dew, liquidation, megahorn, mimic, mist, muddy-water, natural-gift, nightmare, outrage, perish-song, protect, psychic, psychic-noise, psywave, rage, rain-dance, reflect, refresh, rest, return, roar, rock-smash, round, safeguard, secret-power, sheer-cold, shock-wave, signal-beam, sing, skull-bash, sleep-talk, smart-strike, snore, snowscape, solar-beam, sparkling-aria, strength, substitute, surf, swagger, take-down, tera-blast, thunder, thunderbolt, tickle, toxic, water-gun, water-pulse, waterfall, weather-ball, whirlpool, zap-cannon, zen-headbutt"
132,ditto,3,40,101,normal,"imposter, limber",transform
133,eevee,3,65,65,normal,"adaptability, anticipation, run-away","alluring-voice, attract, baby-doll-eyes, baton-pass, bide, bite, body-slam, calm-mind, captivate, charm, confide, copycat, covet, curse, detect, dig, double-edge, double-kick, double-team, echoed-voice, endure, facade, fake-tears, flail, focus-energy, frustration, growl, headbutt, heal-bell, helping-hand, hidden-power, hyper-voice, iron-tail, laser-focus, last-resort, mimic, mud-slap, natural-gift, pay-day, protect, quick-attack, rage, rain-dance, reflect, refresh, rest, retaliate, return, roar, round, sand-attack, secret-power, shadow-ball, skull-bash, sleep-talk, snore, stored-power, substitute, sunny-day, swagger, swift, synchronoise, tackle, tail-whip, take-down, tera-blast, tickle, toxic, trailblaze, trump-card, weather-ball, wish, work-up, yawn"
134,vaporeon,10,290,184,water,"hydration, water-absorb","acid-armor, alluring-voice, aqua-ring, aqua-tail, attract, aurora-beam, baby-doll-eyes, baton-pass, bide, bite, blizzard, body-slam, brine, bubble, bubble-beam, calm-mind, captivate, charm, chilling-water, confide, copycat, covet, curse, detect, dig, dive, double-edge, double-kick, double-team, echoed-voice, endure, facade, fake-tears, flip-turn, focus-energy, frustration, giga-impact, growl, hail, haze, headbutt, heal-bell, helping-hand, hidden-power, hydro-pump, hyper-beam, hyper-voice, ice-beam, icy-wind, iron-tail, laser-focus, last-resort, liquidation, mimic, mist, mud-slap, muddy-water, natural-gift, pay-day, protect, quick-attack, rage, rain-dance, reflect, rest, retaliate, return, roar, rock-smash, round, sand-attack, scald, secret-power, shadow-ball, signal-beam, skull-bash, sleep-talk, snore, stored-power, strength, substitute, sunny-day, surf, swagger, swift, tackle, tail-whip, take-down, tera-blast, toxic, trailblaze, water-gun, water-pulse, waterfall, weather-ball, whirlpool, work-up, yawn"
135,jolteon,8,245,184,electric,"quick-feet, volt-absorb","agility, alluring-voice, attract, baby-doll-eyes, baton-pass, bide, bite, body-slam, calm-mind, captivate, charge, charge-beam, charm, confide, copycat, covet, curse, detect, dig, discharge, double-edge, double-kick, double-team, echoed-voice, eerie-impulse, electric-terrain, electro-ball, electroweb, endure, facade, fake-tears, false-swipe, flash, focus-energy, frustration, giga-impact, growl, headbutt, heal-bell, helping-hand, hidden-power, hyper-beam, hyper-voice, iron-tail, laser-focus, last-resort, light-screen, magnet-rise, metal-sound, mimic, mud-slap, natural-gift, pay-day, pin-missile, protect, quick-attack, rage, rain-dance, reflect, rest, retaliate, return, rising-voltage, roar, rock-smash, round, sand-attack, secret-power, shadow-ball, shock-wave, signal-beam, skull-bash, sleep-talk, snore, stored-power, strength, substitute, sunny-day, swagger, swift, tackle, tail-whip, take-down, tera-blast, thunder, thunder-fang, thunder-shock, thunder-wave, thunderbolt, toxic, trailblaze, volt-switch, weather-ball, wild-charge, work-up, yawn, zap-cannon"
136,flareon,9,250,184,fire,"flash-fire, guts","alluring-voice, attract, baby-doll-eyes, baton-pass, bide, bite, body-slam, burning-jealousy, calm-mind, captivate, charm, confide, copycat, covet, curse, detect, dig, double-edge, double-kick, double-team, echoed-voice, ember, endeavor, endure, facade, fake-tears, fire-blast, fire-fang, fire-spin, flame-charge, flamethrower, flare-blitz, focus-energy, frustration, giga-impact, growl, headbutt, heal-bell, heat-wave, helping-hand, hidden-power, hyper-beam, hyper-voice, incinerate, iron-tail, laser-focus, last-resort, lava-plume, leer, mimic, mud-slap, mystical-fire, natural-gift, overheat, pay-day, protect, quick-attack, rage, rain-dance, reflect, rest, retaliate, return, roar, rock-smash, round, sand-attack, scary-face, scorching-sands, secret-power, shadow-ball, skull-bash, sleep-talk, smog, snore, stored-power, strength, substitute, sunny-day, superpower, swagger, swift, tackle, tail-whip, take-down, temper-flare, tera-blast, toxic, trailblaze, weather-ball, will-o-wisp, work-up, yawn, zap-cannon"
137,porygon,8,365,79,normal,"analytic, download, trace","aerial-ace, agility, ally-switch, barrier, bide, blizzard, charge, charge-beam, confide, conversion, conversion-2, curse, discharge, double-edge, double-team, dream-eater, eerie-impulse, electroweb, endure, facade, flash, foul-play, frustration, giga-impact, gravity, guard-swap, headbutt, hidden-power, hyper-beam, ice-beam, icy-wind, iron-tail, last-resort, lock-on, magic-coat, magnet-rise, mimic, natural-gift, nightmare, pain-split, power-swap, protect, psybeam, psych-up, psychic, psyshock, psywave, rage, rain-dance, recover, recycle, reflect, rest, return, round, secret-power, shadow-ball, sharpen, shock-wave, signal-beam, skull-bash, sleep-talk, snore, solar-beam, spark, speed-swap, substitute, sunny-day, swagger, swift, tackle, take-down, telekinesis, teleport, tera-blast, thief, thunder, thunder-shock, thunder-wave, thunderbolt, toxic, tri-attack, trick, trick-room, wonder-room, zap-cannon, zen-headbutt"
138,omanyte,4,75,71,"rock, water","shell-armor, swift-swim, weak-armor","ancient-power, attract, aurora-beam, bide, bind, bite, blizzard, body-slam, brine, bubble-beam, captivate, confide, constrict, curse, dive, double-edge, double-team, earth-power, endure, facade, frustration, gyro-ball, hail, haze, headbutt, hidden-power, horn-attack, hydro-pump, ice-beam, icy-wind, iron-defense, knock-off, leer, meteor-beam, mimic, mud-shot, muddy-water, natural-gift, protect, rage, rain-dance, reflect, reflect-type, rest, return, rock-blast, rock-polish, rock-slide, rock-smash, rock-throw, rock-tomb, rollout, round, sand-attack, sandstorm, scald, secret-power, shell-smash, slam, sleep-talk, smack-down, snore, spike-cannon, spikes, stealth-rock, substitute, supersonic, surf, swagger, take-down, thief, tickle, toxic, toxic-spikes, water-gun, water-pulse, waterfall, whirlpool, withdraw, wring-out"
139,omastar,10,350,173,"rock, water","shell-armor, swift-swim, weak-armor","ancient-power, attract, bide, bind, bite, blizzard, body-slam, brine, bubble-beam, captivate, confide, constrict, crunch, curse, dive, double-edge, double-team, earth-power, endure, facade, frustration, giga-impact, gyro-ball, hail, headbutt, hidden-power, horn-attack, horn-drill, hydro-pump, hyper-beam, ice-beam, icy-wind, iron-defense, knock-off, leer, liquidation, meteor-beam, mimic, mud-shot, muddy-water, natural-gift, pin-missile, protect, rage, rain-dance, reflect, rest, return, rock-blast, rock-climb, rock-polish, rock-slide, rock-smash, rock-throw, rock-tomb, rollout, round, sand-attack, sandstorm, scald, secret-power, seismic-toss, shell-smash, skull-bash, sleep-talk, smack-down, snore, spike-cannon, spikes, stealth-rock, stone-edge, submission, substitute, supersonic, surf, swagger, take-down, thief, tickle, toxic, toxic-spikes, water-gun, water-pulse, waterfall, whirlpool, withdraw"
140,kabuto,5,115,71,"rock, water","battle-armor, swift-swim, weak-armor","absorb, aerial-ace, ancient-power, aqua-jet, attract, aurora-beam, bide, blizzard, body-slam, brine, bubble-beam, captivate, confide, confuse-ray, curse, dig, double-edge, double-team, earth-power, endure, facade, flail, foresight, frustration, giga-drain, hail, harden, headbutt, hidden-power, hone-claws, hydro-pump, ice-beam, icy-wind, iron-defense, knock-off, leech-life, leer, liquidation, mega-drain, metal-sound, meteor-beam, mimic, mud-shot, mud-slap, natural-gift, protect, rage, rain-dance, rapid-spin, reflect, rest, return, rock-blast, rock-polish, rock-slide, rock-smash, rock-throw, rock-tomb, rollout, round, sand-attack, sandstorm, scald, scratch, screech, secret-power, slash, sleep-talk, smack-down, snore, stealth-rock, stone-edge, substitute, surf, swagger, take-down, thief, toxic, water-gun, water-pulse, waterfall, whirlpool, wring-out"
141,kabutops,13,405,173,"rock, water","battle-armor, swift-swim, weak-armor","absorb, aerial-ace, ancient-power, aqua-jet, aqua-tail, attract, bide, blizzard, body-slam, brick-break, brine, bubble-beam, captivate, confide, confuse-ray, cross-poison, curse, cut, dig, dive, double-edge, double-team, earth-power, endure, facade, feint, flip-turn, frustration, fury-cutter, giga-drain, giga-impact, hail, harden, headbutt, hidden-power, hone-claws, hydro-pump, hyper-beam, ice-beam, icy-wind, iron-defense, knock-off, leech-life, leer, liquidation, low-kick, mega-drain, mega-kick, metal-sound, meteor-beam, mimic, mud-shot, mud-slap, natural-gift, nature-power, night-slash, protect, psycho-cut, rage, rain-dance, razor-shell, razor-wind, reflect, rest, return, rock-blast, rock-climb, rock-polish, rock-slide, rock-smash, rock-throw, rock-tomb, rollout, round, sand-attack, sandstorm, scald, scratch, screech, secret-power, seismic-toss, skull-bash, slash, sleep-talk, smack-down, snore, stealth-rock, stone-edge, submission, substitute, superpower, surf, swagger, swords-dance, take-down, thief, toxic, water-gun, water-pulse, waterfall, whirlpool, wring-out, x-scissor"
142,aerodactyl,18,590,180,"flying, rock","pressure, rock-head, unnerve","aerial-ace, agility, air-cutter, ancient-power, aqua-tail, assurance, attract, bide, bite, brutal-swing, bulldoze, captivate, confide, crunch, curse, defog, detect, double-edge, double-team, dragon-breath, dragon-claw, dragon-dance, dragon-pulse, dragon-rage, dual-wingbeat, earth-power, earthquake, endure, facade, fire-blast, fire-fang, flamethrower, fly, foresight, frustration, giga-impact, headbutt, heat-wave, hidden-power, hone-claws, hurricane, hyper-beam, ice-fang, incinerate, iron-head, iron-tail, laser-focus, meteor-beam, mimic, natural-gift, ominous-wind, payback, protect, psychic-fangs, pursuit, rage, rain-dance, razor-wind, reflect, rest, return, roar, rock-blast, rock-polish, rock-slide, rock-smash, rock-throw, rock-tomb, roost, round, sandstorm, scary-face, secret-power, sky-attack, sky-drop, sleep-talk, smack-down, snore, stealth-rock, steel-wing, stone-edge, strength, substitute, sunny-day, supersonic, swagger, swift, tailwind, take-down, taunt, thief, thunder-fang, torment, toxic, twister, whirlwind, wide-guard, wing-attack"
